segment_idx,start_time,end_time,score,kp,ki,kd,pb,ti,td
3,02-10 04:00,02-10 10:00,8.18,0.0,0.0,0.0,61.2,0.0,0.0
4,02-10 06:00,02-10 12:00,6.82,2.5,0.00434028,0.0,40.0,576.0,0.0
6,02-10 10:00,02-10 16:00,6.4,3.125,0.01201923,0.0,32.0,260.0,0.0
7,02-10 12:00,02-10 18:00,6.4,3.125,0.01201923,0.0,32.0,260.0,0.0
8,02-10 14:00,02-10 20:00,6.4,3.125,0.01201923,0.0,32.0,260.0,0.0
9,02-10 16:00,02-10 22:00,6.4,3.125,0.01201923,0.0,32.0,260.0,0.0
5,02-10 08:00,02-10 14:00,6.29,0.0,0.0,0.0,50.0,0.0,0.0
10,02-10 18:00,02-11 00:00,6.08,0.0,0.0,0.0,50.0,0.0,0.0
1,02-10 00:00,02-10 06:00,0.0,1.0,0.05,0.0,100.0,20.0,0.0
2,02-10 02:00,02-10 08:00,0.0,1.0,0.05,0.0,100.0,20.0,0.0
