timestamp,time,temperature,target_temp,kp,ki,kd,control_period,max_duty,pid_output,error,integral_error,derivative_error,heat_input,heat_loss
1759155757571,2025-09-29 22:22:37.571,25.15,30.0,1.0,0.08,0.05,100,100,7.05,5.0,25.0,1.0,0.106,0.06
1759155762571,2025-09-29 22:22:42.571,26.08,30.0,1.0,0.08,0.05,100,100,8.78,4.85,49.24,-0.03,0.132,0.063
1759155767571,2025-09-29 22:22:47.571,26.02,30.0,1.0,0.08,0.05,100,100,9.41,3.92,68.83,-0.19,0.141,0.082
1759155772571,2025-09-29 22:22:52.571,25.14,30.0,1.0,0.08,0.05,100,100,11.07,3.98,88.71,0.01,0.166,0.08
1759155777571,2025-09-29 22:22:57.571,25.21,30.0,1.0,0.08,0.05,100,100,12.87,4.86,100.0,0.18,0.193,0.063
1759155782571,2025-09-29 22:23:02.571,27.97,30.0,1.0,0.08,0.05,100,100,12.79,4.79,100.0,-0.01,0.192,0.064
1759155787571,2025-09-29 22:23:07.571,27.32,30.0,1.0,0.08,0.05,100,100,10.01,2.03,100.0,-0.55,0.15,0.119
1759155792571,2025-09-29 22:23:12.571,28.09,30.0,1.0,0.08,0.05,100,100,10.69,2.68,100.0,0.13,0.16,0.106
1759155797571,2025-09-29 22:23:17.571,26.03,30.0,1.0,0.08,0.05,100,100,9.91,1.91,100.0,-0.15,0.149,0.122
1759155802571,2025-09-29 22:23:22.571,25.59,30.0,1.0,0.08,0.05,100,100,11.99,3.97,100.0,0.41,0.18,0.081
1759155807571,2025-09-29 22:23:27.571,25.12,30.0,1.0,0.08,0.05,100,100,12.42,4.41,100.0,0.09,0.186,0.072
1759155812571,2025-09-29 22:23:32.571,27.81,30.0,1.0,0.08,0.05,100,100,12.88,4.88,100.0,0.09,0.193,0.062
1759155817571,2025-09-29 22:23:37.571,27.23,30.0,1.0,0.08,0.05,100,100,10.16,2.19,100.0,-0.54,0.152,0.116
1759155822571,2025-09-29 22:23:42.571,29.0,30.0,1.0,0.08,0.05,100,100,10.78,2.77,100.0,0.12,0.162,0.105
1759155827571,2025-09-29 22:23:47.571,29.36,30.0,1.0,0.08,0.05,100,100,8.98,1.0,100.0,-0.35,0.135,0.14
1759155832571,2025-09-29 22:23:52.571,28.93,30.0,1.0,0.08,0.05,100,100,8.64,0.64,100.0,-0.07,0.13,0.147
1759155837571,2025-09-29 22:23:57.571,30.64,30.0,1.0,0.08,0.05,100,100,9.07,1.07,100.0,0.09,0.136,0.139
1759155842571,2025-09-29 22:24:02.571,30.59,30.0,1.0,0.08,0.05,100,100,7.08,-0.64,96.79,-0.34,0.106,0.173
1759155847571,2025-09-29 22:24:07.571,30.72,30.0,1.0,0.08,0.05,100,100,6.92,-0.59,93.84,0.01,0.104,0.172
1759155852571,2025-09-29 22:24:12.571,29.21,30.0,1.0,0.08,0.05,100,100,6.49,-0.72,90.22,-0.03,0.097,0.174
1759155857571,2025-09-29 22:24:17.571,28.66,30.0,1.0,0.08,0.05,100,100,8.34,0.79,94.18,0.3,0.125,0.144
1759155862571,2025-09-29 22:24:22.571,27.63,30.0,1.0,0.08,0.05,100,100,9.35,1.34,100.0,0.11,0.14,0.133
1759155867571,2025-09-29 22:24:27.571,27.64,30.0,1.0,0.08,0.05,100,100,10.38,2.37,100.0,0.21,0.156,0.113
1759155872571,2025-09-29 22:24:32.571,27.97,30.0,1.0,0.08,0.05,100,100,10.36,2.36,100.0,-0.0,0.155,0.113
1759155877571,2025-09-29 22:24:37.571,26.57,30.0,1.0,0.08,0.05,100,100,10.02,2.03,100.0,-0.07,0.15,0.119
1759155882571,2025-09-29 22:24:42.571,24.95,30.0,1.0,0.08,0.05,100,100,11.45,3.43,100.0,0.28,0.172,0.091
1759155887571,2025-09-29 22:24:47.571,24.92,30.0,1.0,0.08,0.05,100,100,13.07,5.05,100.0,0.32,0.196,0.059
1759155892571,2025-09-29 22:24:52.571,25.68,30.0,1.0,0.08,0.05,100,100,13.08,5.08,100.0,0.01,0.196,0.058
1759155897571,2025-09-29 22:24:57.571,26.62,30.0,1.0,0.08,0.05,100,100,12.32,4.32,100.0,-0.15,0.185,0.074
1759155902571,2025-09-29 22:25:02.571,25.9,30.0,1.0,0.08,0.05,100,100,11.37,3.38,100.0,-0.19,0.171,0.092
1759155907571,2025-09-29 22:25:07.571,25.36,30.0,1.0,0.08,0.05,100,100,12.1,4.1,100.0,0.14,0.182,0.078
