时间(s),实际响应温度(℃),真实仿真温度(℃),阀门开度(%),误差(℃),Kp,Ti/10,Td*2
0.000000000000000000e+00,3.803369579042695250e+02,3.802134014831505056e+02,9.630740458515785463e+01,1.966304209573047501e+01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
1.000000000000000000e+00,3.803254411355428033e+02,3.800099788899952387e+02,9.646988485931105117e+01,1.967455886445719671e+01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
2.000000000000000000e+00,3.801202472695400161e+02,3.797205068035478348e+02,9.971593987361399058e+01,1.987975273045998392e+01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
3.000000000000000000e+00,3.827215235120640955e+02,3.800472891989968502e+02,1.000000000000000000e+02,1.727847648793590452e+01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
4.000000000000000000e+00,3.848132718857988834e+02,3.800420211500803020e+02,8.342753273559830518e+01,1.518672811420111657e+01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
5.000000000000000000e+00,3.875863132592876354e+02,3.802270104387345100e+02,7.156471598917300980e+01,1.241368674071236455e+01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
6.000000000000000000e+00,3.902654570137742667e+02,3.808302861662614305e+02,5.519928487403758055e+01,9.734542986225733330e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.000000000000000000e+00,3.917930924458336790e+02,3.804096339150932522e+02,4.074964206723633708e+01,8.206907554166321006e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
8.000000000000000000e+00,3.936443905191233625e+02,3.796216806197275559e+02,3.618392834377891631e+01,6.355609480876637463e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
9.000000000000000000e+00,3.945073730462935941e+02,3.798834940818605332e+02,2.837593724554059449e+01,5.492626953706405857e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
1.000000000000000000e+01,3.949348104503462196e+02,3.800893330502478875e+02,2.827925117081495188e+01,5.065189549653780432e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
1.100000000000000000e+01,3.955102174627277805e+02,3.803796907017733133e+02,3.062087353951477553e+01,4.489782537272219543e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
1.200000000000000000e+01,3.951826570995116299e+02,3.799945689215741140e+02,3.062685219321255659e+01,4.817342900488370105e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
1.300000000000000000e+01,3.964849205834988197e+02,3.801430782190997775e+02,3.720401508553234748e+01,3.515079416501180276e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
1.400000000000000000e+01,3.960906961669524549e+02,3.797713465472218672e+02,2.940253452421191938e+01,3.909303833047545140e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
1.500000000000000000e+01,3.969776999955814176e+02,3.807774911407620380e+02,3.573678542738135633e+01,3.022300004418582375e+00,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
