时间(s),实际响应温度(℃),真实仿真温度(℃),阀门开度(%),误差(℃)
0.000000000000000000e+00,3.801726696625535737e+02,3.804188019246329304e+02,4.510534845492878020e+01,1.982733033744642626e+01
1.000000000000000000e+00,3.801751634989045669e+02,3.796004271274122175e+02,4.736695563566999567e+01,1.982483650109543305e+01
2.000000000000000000e+00,3.798772479668554070e+02,3.797911123313770645e+02,5.045352351501036026e+01,2.012275203314459304e+01
3.000000000000000000e+00,3.807398463909236170e+02,3.804409423521144049e+02,5.481835684988029556e+01,1.926015360907638296e+01
4.000000000000000000e+00,3.824881105938204087e+02,3.801723166910571194e+02,5.395681835650933778e+01,1.751188940617959133e+01
5.000000000000000000e+00,3.834031215810687172e+02,3.801558824939996271e+02,4.968852285822371329e+01,1.659687841893128279e+01
6.000000000000000000e+00,3.853968336266815982e+02,3.799463877240694387e+02,4.975820663987297365e+01,1.460316637331840184e+01
7.000000000000000000e+00,3.869756800045347518e+02,3.798848213902706448e+02,4.513872431882715830e+01,1.302431999546524821e+01
8.000000000000000000e+00,3.869543154323772001e+02,3.800623987592897493e+02,4.281493851377804560e+01,1.304568456762279993e+01
9.000000000000000000e+00,3.889278903975770163e+02,3.801814538418416873e+02,4.751927435170451020e+01,1.107210960242298370e+01
1.000000000000000000e+01,3.894557559620246820e+02,3.804512120585237085e+02,4.272103391218427504e+01,1.054424403797531795e+01
1.100000000000000000e+01,3.907710509044014771e+02,3.801757260874068720e+02,4.462264628650984832e+01,9.228949095598522945e+00
1.200000000000000000e+01,3.907180923864951296e+02,3.803102528625484524e+02,4.258454950644513559e+01,9.281907613504870369e+00
1.300000000000000000e+01,3.917722647249188412e+02,3.803745711214369862e+02,4.651204715929945621e+01,8.227735275081158761e+00
1.400000000000000000e+01,3.933561554458725027e+02,3.806877356762073532e+02,4.489535849586894045e+01,6.643844554127497304e+00
1.500000000000000000e+01,3.933451902197189156e+02,3.802660563154934152e+02,4.100170019449704739e+01,6.654809780281084386e+00
1.600000000000000000e+01,3.945636238362919244e+02,3.800205549159355201e+02,4.429132906754428944e+01,5.436376163708075637e+00
1.700000000000000000e+01,3.952554594565316961e+02,3.801359912824888170e+02,4.154341732864771330e+01,4.744540543468303895e+00
1.800000000000000000e+01,3.960577133778585335e+02,3.803727095660549935e+02,4.120872288670920369e+01,3.942286622141466523e+00
1.900000000000000000e+01,3.959023843609194842e+02,3.802681163860364109e+02,4.016647421000116935e+01,4.097615639080515848e+00
2.000000000000000000e+01,3.968839213894161730e+02,3.803378719686876934e+02,4.316275357981820093e+01,3.116078610583826958e+00
2.100000000000000000e+01,3.972671178277052491e+02,3.796905078038316219e+02,4.061021411916837565e+01,2.732882172294750944e+00
2.200000000000000000e+01,3.976670684237495834e+02,3.798713603166851271e+02,4.080543288257275947e+01,2.332931576250416583e+00
2.300000000000000000e+01,3.986856625104620662e+02,3.804220655687381623e+02,4.069291771550012982e+01,1.314337489537933834e+00
2.400000000000000000e+01,3.986769944692062495e+02,3.797367426087365061e+02,3.770958490866850354e+01,1.323005530793750495e+00
2.500000000000000000e+01,3.995353787774673151e+02,3.797844678543577288e+02,3.936288070267534778e+01,4.646212225326848966e-01
2.600000000000000000e+01,3.997221897424171857e+02,3.805628447191156170e+02,3.680647103419130417e+01,2.778102575828143017e-01
2.700000000000000000e+01,4.001670261115607445e+02,3.805477227468185220e+02,3.729469893105873979e+01,-1.670261115607445390e-01
2.800000000000000000e+01,4.001362068465435300e+02,3.795595344043422301e+02,3.637793624783547841e+01,-1.362068465435299913e-01
2.900000000000000000e+01,4.006088173867038904e+02,3.802043136602764548e+02,3.745459168186269494e+01,-6.088173867038904064e-01
3.000000000000000000e+01,4.008401214950267217e+02,3.803516391224371773e+02,3.603125876054308208e+01,-8.401214950267217318e-01
3.100000000000000000e+01,4.015802332340542762e+02,3.797704532347965483e+02,3.568986267475097662e+01,-1.580233234054276181e+00
3.200000000000000000e+01,4.012660389160143950e+02,3.800915772184716275e+02,3.301361499351836670e+01,-1.266038916014394999e+00
3.300000000000000000e+01,4.014874641621231035e+02,3.807409390187456211e+02,3.508669532074281960e+01,-1.487464162123103506e+00
3.400000000000000000e+01,4.023185817597158689e+02,3.799785871459756663e+02,3.439104999478242775e+01,-2.318581759715868884e+00
3.500000000000000000e+01,4.027590968043746784e+02,3.802634565144417707e+02,3.100542949029888362e+01,-2.759096804374678413e+00
3.600000000000000000e+01,4.030512684961658465e+02,3.803038740256176311e+02,2.958366494546329406e+01,-3.051268496165846500e+00
3.700000000000000000e+01,4.030351777338117927e+02,3.800809512678812894e+02,2.876592404902228139e+01,-3.035177733811792677e+00
3.800000000000000000e+01,4.025213333297610347e+02,3.807292964244963969e+02,2.917104754938954159e+01,-2.521333329761034747e+00
3.900000000000000000e+01,4.028803435461550748e+02,3.799066915554497541e+02,3.150016624408351618e+01,-2.880343546155074819e+00
4.000000000000000000e+01,4.026839334160849830e+02,3.803671317211933456e+02,2.961279811595679945e+01,-2.683933416084983037e+00
4.100000000000000000e+01,4.037015603502930503e+02,3.800597877443340167e+02,3.030223745477263719e+01,-3.701560350293050305e+00
4.200000000000000000e+01,4.030625520252551723e+02,3.806030098261894068e+02,2.552393732262242665e+01,-3.062552025255172339e+00
4.300000000000000000e+01,4.030107093781261938e+02,3.807271932430595029e+02,2.843875516016702676e+01,-3.010709378126193769e+00
4.400000000000000000e+01,4.028167309896161328e+02,3.805674348328202541e+02,2.828038698978529908e+01,-2.816730989616132774e+00
4.500000000000000000e+01,4.030233001825080237e+02,3.802051035966978247e+02,2.869364740807134950e+01,-3.023300182508023681e+00
4.600000000000000000e+01,4.019552654215089547e+02,3.801137434449451007e+02,2.726090103638470552e+01,-1.955265421508954660e+00
4.700000000000000000e+01,4.024750258995015884e+02,3.809382375604071740e+02,3.151694872398225655e+01,-2.475025899501588356e+00
4.800000000000000000e+01,4.030491199673404026e+02,3.800425393969315451e+02,2.832033497864444271e+01,-3.049119967340402582e+00
4.900000000000000000e+01,4.032078275210720335e+02,3.803937508642015928e+02,2.532740331790592592e+01,-3.207827521072033505e+00
5.000000000000000000e+01,4.031973218729503401e+02,3.808653986708876573e+02,2.445656011426421372e+01,-3.197321872950340094e+00
5.100000000000000000e+01,4.027759640193755786e+02,3.808183300887330915e+02,2.431556347658121098e+01,-2.775964019375578573e+00
5.200000000000000000e+01,4.027575534876620509e+02,3.809381022786761832e+02,2.587181122716433634e+01,-2.757553487662050884e+00
5.300000000000000000e+01,4.022112877671683577e+02,3.807830234008467301e+02,2.540836676654999593e+01,-2.211287767168357732e+00
5.400000000000000000e+01,4.027014608092591175e+02,3.816941984190424932e+02,2.727509705983561972e+01,-2.701460809259117468e+00
5.500000000000000000e+01,4.026501780875167356e+02,3.820151385361424445e+02,2.439021140955653877e+01,-2.650178087516735559e+00
5.600000000000000000e+01,4.023249965964704415e+02,3.827115153981137610e+02,2.422601130130708924e+01,-2.324996596470441546e+00
5.700000000000000000e+01,4.023012931632878804e+02,3.830222836184744324e+02,2.522553561769823460e+01,-2.301293163287880361e+00
5.800000000000000000e+01,4.024284620884462242e+02,3.832329104006427656e+02,2.475996023569441107e+01,-2.428462088446224243e+00
5.900000000000000000e+01,4.025038641337586682e+02,3.847862187659566757e+02,2.369074073424409832e+01,-2.503864133758668231e+00
6.000000000000000000e+01,4.016622094961864491e+02,3.850607207238481351e+02,2.295872503471120396e+01,-1.662209496186449087e+00
6.100000000000000000e+01,4.024168024032239828e+02,3.857613770984451094e+02,2.627246176839648939e+01,-2.416802403223982765e+00
6.200000000000000000e+01,4.024261897228046223e+02,3.866382160789677300e+02,2.221558094944805362e+01,-2.426189722804622306e+00
6.300000000000000000e+01,4.014037526049166331e+02,3.874732490515646646e+02,2.192539858269504549e+01,-1.403752604916633118e+00
6.400000000000000000e+01,4.018136244832257375e+02,3.864502034893858990e+02,2.610394336059655629e+01,-1.813624483225737549e+00
6.500000000000000000e+01,4.014850055816934287e+02,3.872577293400819940e+02,2.352026839894820398e+01,-1.485005581693428667e+00
6.600000000000000000e+01,4.017199363512527270e+02,3.883125515026313224e+02,2.452892884166023180e+01,-1.719936351252727036e+00
6.700000000000000000e+01,4.010259180430821289e+02,3.888340922473205978e+02,2.296779564305114363e+01,-1.025918043082128861e+00
6.800000000000000000e+01,4.012151780844126847e+02,3.886528306802807151e+02,2.566368198179850069e+01,-1.215178084412684711e+00
6.900000000000000000e+01,4.014147922034758835e+02,3.884126200135988256e+02,2.419613315235443096e+01,-1.414792203475883525e+00
7.000000000000000000e+01,4.014401838880792752e+02,3.892693432985245181e+02,2.292074175754343912e+01,-1.440183888079275221e+00
7.100000000000000000e+01,4.007067014922785688e+02,3.893094715588374015e+02,2.256748400878698746e+01,-7.067014922785688213e-01
7.200000000000000000e+01,4.013540508361035677e+02,3.894731178756921395e+02,2.554388913608678635e+01,-1.354050836103567690e+00
7.300000000000000000e+01,4.013110999901029459e+02,3.909123775474280365e+02,2.214868639113782933e+01,-1.311099990102945867e+00
7.400000000000000000e+01,4.009308536376249776e+02,3.912361980707633506e+02,2.221422075463364010e+01,-9.308536376249776367e-01
7.500000000000000000e+01,4.009851001369872847e+02,3.910566180716064082e+02,2.370499907708769882e+01,-9.851001369872847135e-01
7.600000000000000000e+01,4.006362443654728054e+02,3.909441243973698192e+02,2.310946554290966404e+01,-6.362443654728053843e-01
7.700000000000000000e+01,4.008371208627327178e+02,3.922317288604737655e+02,2.436313547124861145e+01,-8.371208627327177965e-01
7.800000000000000000e+01,4.008544044443984262e+02,3.920644385852369851e+02,2.308795737265998227e+01,-8.544044443984262216e-01
7.900000000000000000e+01,4.006528676046577289e+02,3.918524585708033214e+02,2.280083695218050011e+01,-6.528676046577288616e-01
8.000000000000000000e+01,4.000562860144465844e+02,3.929080332844688428e+02,2.350175147166120482e+01,-5.628601444658443143e-02
8.100000000000000000e+01,4.004690230121678951e+02,3.928753961372213439e+02,2.584287144254939861e+01,-4.690230121678951036e-01
8.200000000000000000e+01,4.003296623601466990e+02,3.925193080857707741e+02,2.354509477177282761e+01,-3.296623601466990294e-01
8.300000000000000000e+01,4.006647914553404917e+02,3.934687894547320752e+02,2.399977409104271686e+01,-6.647914553404916660e-01
8.400000000000000000e+01,4.005147509424352279e+02,3.932495554818054302e+02,2.234337678159861440e+01,-5.147509424352278984e-01
8.500000000000000000e+01,4.003543832501406996e+02,3.935492091533376993e+02,2.300706179119686468e+01,-3.543832501406996016e-01
8.600000000000000000e+01,4.003022277983047843e+02,3.934555793976553559e+02,2.361073667537109699e+01,-3.022277983047843009e-01
8.700000000000000000e+01,3.999898043397031415e+02,3.935822502078487446e+02,2.367090479922935842e+01,1.019566029685847752e-02
8.800000000000000000e+01,4.001255961147454627e+02,3.941286014072600210e+02,2.487490614142886614e+01,-1.255961147454627280e-01
8.900000000000000000e+01,3.999884152782700539e+02,3.941031148485502626e+02,2.400830736868816828e+01,1.158472172994606808e-02
9.000000000000000000e+01,4.003507414009509375e+02,3.941659093643647225e+02,2.447995936867633660e+01,-3.507414009509375319e-01
9.100000000000000000e+01,4.000152496763316208e+02,3.947458360762137772e+02,2.274009400743058151e+01,-1.524967633162077618e-02
9.200000000000000000e+01,4.000003706779711479e+02,3.950715908949019308e+02,2.426542008799082595e+01,-3.706779711478702666e-04
9.300000000000000000e+01,3.995489322486129140e+02,3.955655799847155549e+02,2.419698187773418141e+01,4.510677513870859912e-01
9.400000000000000000e+01,4.000642646697444320e+02,3.958433601992259696e+02,2.606407876296592718e+01,-6.426466974443201252e-02
9.500000000000000000e+01,4.000573747180050646e+02,3.952844138813293853e+02,2.352941900324920610e+01,-5.737471800506455111e-02
9.600000000000000000e+01,3.997228650636263865e+02,3.959890270835028332e+02,2.362608839750240008e+01,2.771349363736135274e-01
9.700000000000000000e+01,3.997593115053913948e+02,3.955863614366847401e+02,2.512496157913077610e+01,2.406884946086051968e-01
9.800000000000000000e+01,4.001753239342698976e+02,3.957347054711929673e+02,2.483096359885048798e+01,-1.753239342698975634e-01
9.900000000000000000e+01,4.004067570399088822e+02,3.961277048592061192e+02,2.295264955752479352e+01,-4.067570399088822342e-01
1.000000000000000000e+02,3.995864145804895884e+02,3.961147293040214663e+02,2.210930416876509597e+01,4.135854195104116116e-01
1.010000000000000000e+02,3.996683244095323744e+02,3.960044307649651500e+02,2.590527412551590558e+01,3.316755904676256250e-01
1.020000000000000000e+02,3.995057888887491231e+02,3.964906692051889650e+02,2.528894389993641667e+01,4.942111112508769111e-01
1.030000000000000000e+02,4.001015571508699509e+02,3.967653434200578317e+02,2.587422260132358431e+01,-1.015571508699508740e-01
1.040000000000000000e+02,3.994674972805412381e+02,3.968592842129435212e+02,2.312720316053111702e+01,5.325027194587619306e-01
1.050000000000000000e+02,3.999270307036508143e+02,3.963613899567767476e+02,2.609576300836841511e+01,7.296929634918569718e-02
1.060000000000000000e+02,4.000562914420173684e+02,3.972813726695570722e+02,2.392569376115306312e+01,-5.629144201736835385e-02
1.070000000000000000e+02,3.992687910776103308e+02,3.974486797883374720e+02,2.349052748606361618e+01,7.312089223896691692e-01
1.080000000000000000e+02,4.002398368288680217e+02,3.976667564570472564e+02,2.707931893246167121e+01,-2.398368288680217120e-01
